"CAREF","CANO","CACOMP","CACURREF","CANAME","CAADD","CACUST","CAVATNUM","CANOVAT","CASALEREP","CASUPP","CAVATREQ","CALNGREF","CACNTRREF","CATRANS","CACUSTTYPE","CADUNS","CATAXID","CABSCC","CACREDCSTAT","CAINTSTAT","CAMPRTNAME","CAMPRTNACE","CAMEMPNUM","CAMPRTTURN","CACUSTSTAT","CAACTION"
"1284082","1284082","NLAAT","EUR","ALL COLOR B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","387436756","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284294","1284294","NLAAT","EUR","BRABOB B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489455487","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284325","1284325","NLAAT","EUR","V.O.F. COMBINATIE OTHENE ZUID","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489134556","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284354","1284354","NLAAT","EUR","NIJENHUIS SUPERMARKT","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","490363740","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284605","1284605","NLAAT","EUR","SPAR KROON","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","490495468","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284821","1284821","NLAAT","EUR","DELTA-N. B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","402459908","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284822","1284822","NLAAT","EUR","ADMINISTRATIEKANTOOR VAN BROEKHOVEN B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","408491178","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284878","1284878","NLAAT","EUR","EXACT GROUP B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","410648083","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284882","1284882","NLAAT","EUR","HP PTNR GROUPM B.V.","-","1","NL005063346B01","0","0","0","0","en","NL","0","CustomerType.Party","403318459","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284973","1284973","NLAAT","EUR","MPS EXACT SOFTWARE NEDERLAND B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","408362937","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
